Jahr;GEMEINDE_BFS_NR;GEMEINDE;Bezirk NR;BEZIRK;REGION_CODE;REGION;ANZAHL_PERSONEN_TOTAL
01.01.2015;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;885
01.01.2010;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;889
01.01.2011;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;892
01.01.2011;24;Buch a.I.;2;Andelfingen;110;Weinland;894
01.01.2012;24;Buch a.I.;2;Andelfingen;110;Weinland;898
01.01.2012;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;898
01.01.2010;12;Rifferswil;1;Affoltern;105;Knonaueramt;900
01.01.2019;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;901
01.01.2013;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;903
01.01.2017;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;903
01.01.2018;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;903
01.01.2015;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;903
01.01.2016;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;905
01.01.2014;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;907
01.01.2012;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;914
01.01.2016;87;Hüttikon;4;Dielsdorf;103;Furttal;916
01.01.2013;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;916
01.01.2014;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;916
01.01.2018;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;917
01.01.2010;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;918
01.01.2013;24;Buch a.I.;2;Andelfingen;110;Weinland;919
01.01.2018;87;Hüttikon;4;Dielsdorf;103;Furttal;922
01.01.2012;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;922
01.01.2017;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;922
01.01.2014;24;Buch a.I.;2;Andelfingen;110;Weinland;923
01.01.2017;87;Hüttikon;4;Dielsdorf;103;Furttal;925
01.01.2011;12;Rifferswil;1;Affoltern;105;Knonaueramt;933
01.01.2020;218;Ellikon a.d.Th.;10;Uster;109;Winterthur und Umgebung;935
01.01.2019;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;942
01.01.2010;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;946
01.01.2020;87;Hüttikon;4;Dielsdorf;103;Furttal;947
01.01.2019;87;Hüttikon;4;Dielsdorf;103;Furttal;949
01.01.2011;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;952
01.01.2020;39;Thalheim a.d.Th.;2;Andelfingen;110;Weinland;953
01.01.2016;24;Buch a.I.;2;Andelfingen;110;Weinland;955
01.01.2013;6;Kappel a.A.;1;Affoltern;105;Knonaueramt;955
01.01.2012;12;Rifferswil;1;Affoltern;105;Knonaueramt;957
01.01.2011;61;Hüntwangen;3;Bülach;111;Zürcher Unterland;958
01.01.2013;12;Rifferswil;1;Affoltern;105;Knonaueramt;959
01.01.2015;24;Buch a.I.;2;Andelfingen;110;Weinland;961
01.01.2010;182;Wildberg;8;Meilen;108;Zürcher Oberland;965
01.01.2010;65;Oberembrach;3;Bülach;111;Zürcher Unterland;966
01.01.2017;24;Buch a.I.;2;Andelfingen;110;Weinland;970
01.01.2018;24;Buch a.I.;2;Andelfingen;110;Weinland;977
01.01.2013;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;977
01.01.2019;24;Buch a.I.;2;Andelfingen;110;Weinland;979
01.01.2014;214;Dägerlen;10;Uster;109;Winterthur und Umgebung;979
01.01.2010;102;Weiach;4;Dielsdorf;111;Zürcher Unterland;980
01.01.2016;182;Wildberg;8;Meilen;108;Zürcher Oberland;980
01.01.2011;182;Wildberg;8;Meilen;108;Zürcher Oberland;981
01.01.2012;40;Trüllikon;2;Andelfingen;110;Weinland;982
